Opérateur;Année;Filière;Consommation Agriculture (MWh);Nombre de points Agriculture;Nombre de mailles secretisées (agriculture);Indique qualité Agriculture;Consommation Industrie (MWh);Nombre de points Industrie;Nombre de mailles secretisées (industrie);Indice qualité Industrie;Consommation Tertiaire  (MWh);Nombre de points Tertiaire;Nombre de mailles secretisées (tertiaire);Indice qualité Tertiaire;Consommation Résidentiel  (MWh);Nombre de points Résidentiel;Nombre de mailles secretisées (résidentiel);Indice qualité Résidentiel;Thermosensibilité (MWh/degré-jour);Part Thermosensible;Consommation Secteur Inconnu (MWh);Nombre de points Secteur Inconnu;Nombre de mailles secretisées (secteur inconnu);Indice qualité Non Affecté;Code Commune;Libellé Commune;Code EPCI;Libellé EPCI;Code Département;Libellé Département;Code Région;Libellé Région;id_filiere;Consommation totale (MWh);Code_postal
GRDF;2020;Gaz;0.0;0;0;0.0;0.0;0;1;0.0;481.04772;8;0;0.125;12051.48051;1208;0;0.034;0.0;0.0;0.0;0;0;0.0;35363;Pont-Péan;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;200;12532.52823;35131
Enedis;2018;Electricité;375.556962326563;8;0;0.691;41012.8462167507;23;0;0.769;3621.34367946383;178;0;0.725;9985.23506423073;1973;0;0.717;1.86490455815389;26.2;248.975088708852;41;0;0.676;35059;La Chapelle-des-Fougeretz;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;100;55243.95701148068;35520
GRDF;2017;Gaz;0.0;0;0;0.0;9208.0;2;0;1.0;0.0;0;0;0.0;16004.0;1494;0;0.00728;4.013;0.479;0.0;0;0;0.0;35001;Acigné;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;200;25212.0;35690
GRDF;2017;Gaz;0.0;0;0;0.0;12621.0;2;0;1.0;0.0;0;0;0.0;8182.0;642;0;0.04;3.472;0.76;0.0;0;0;0.0;35139;Laillé;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;200;20803.0;35890
GRDF;2017;Gaz;0.0;0;0;0.0;0.0;0;0;0.0;718.0;1;0;1.0;9468.0;684;0;0.0;3.089;0.69;0.0;0;0;0.0;35189;Montgermont;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;200;10186.0;35760
GRDF;2017;Gaz;25623.0;2;0;1.0;6713.0;2;0;1.0;762.0;2;0;1.0;19278.0;1327;0;0.0365;6.048;0.591;0.0;0;0;0.0;35196;Mordelles;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;200;52376.0;35310
GRDF;2019;Gaz;0.0;0;0;0.0;79224.028;2;1;1.0;2073.22599;26;0;0.24;11915.31831;1285;0;0.0581;0.0;0.0;0.0;0;0;0.0;35131;L'Hermitage;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;200;93212.57230000001;35590
GRDF;2019;Gaz;0.0;0;0;0.0;12605.49651;2;1;1.0;996.15133;12;0;0.215;7080.01864;677;0;0.0261;0.0;0.0;0.0;0;0;0.0;35139;Laillé;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;200;20681.66648;35890
GRDF;2019;Gaz;0.0;0;0;0.0;419.54013;4;0;0.0997;2436.92951;39;0;0.14;7465.40918;756;0;0.304;0.0;0.0;0.66311;1;0;0.0;35189;Montgermont;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;200;10322.54193;35760
GRDF;2019;Gaz;0.0;0;0;0.0;9459.24246;12;0;0.417;21767.81041;73;0;0.18;24608.12725;2495;0;0.0335;0.0;0.0;8.00211;1;0;0.0;35240;Le Rheu;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;200;55843.182230000006;35650/35650
Enedis;2020;Electricité;262.9591404;11;0;0.53;1152.4508503;15;0;0.762;4191.20406608;97;0;0.717;4095.032294;837;0;0.803;0.703587603;20.0;0.0;0;1;0.0;35039;Brécé;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;100;9701.64635078;35530
Enedis;2020;Electricité;124.9880603;4;0;0.78;0.0;0;1;0.0;93.63376263;17;0;0.834;2024.217802;368;0;0.706;0.0;0.0;0.0;0;0;0.0;35081;Clayes;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;100;2242.83962493;35590
Enedis;2020;Electricité;319.5008589;13;0;0.45;1592.48992444;32;0;0.42;2486.28547665;169;0;0.731;10852.88586;2302;0;0.738;1.832401014;19.6;59.24245751;10;0;0.00521;35208;Orgères;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;100;15310.4045775;35230
Enedis;2020;Electricité;1514.14603186;58;0;0.629;2376.423508557;76;3;0.551;19922.006151497;652;0;0.617;25122.196612;5116;1;0.747;4.277208553;19.8;74.17721584;11;4;0.509;35210;Pacé;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;100;49008.949519753995;35740
Enedis;2020;Electricité;75.67123612;5;0;0.9;0.0;0;1;0.0;504.7175171;43;0;0.694;4457.604316;600;0;0.756;0.928132695;24.2;0.0;0;1;0.0;35315;Saint-Sulpice-la-Forêt;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;100;5037.99306922;35250
Enedis;2020;Electricité;108.0773253;7;0;0.492;971.69653616;38;0;0.643;9714.68643925;276;0;0.729;9451.166727;2483;0;0.77;1.294685231;15.9;0.0;0;1;0.0;35353;Vezin-le-Coquet;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;100;20245.627027709997;35132
